Overall,Bib,Name,Time
117,33715,Alia Karaman,3:33:45
119,30090,Brian Germano,3:33:50
120,30098,Edwin Reyes,3:33:52
121,33473,Mark Clyburn,3:33:58
122,33487,Brian Steel,3:34:37
123,30060,Tien Le,3:34:43
124,30356,Drew Belnick,3:34:55
125,30056,Kevin Mckenna,3:35:09
126,30174,Nicholas Avello,3:35:12
127,30247,Olivia Dibiasio,3:35:14
128,30502,Kristen Bednar,3:35:45
129,30157,Matthew Mehalko,3:35:49
130,30638,Garrett Bauman,3:35:52
131,30323,Brian Hoffart,3:35:55
132,30314,Trever Griswold,3:36:01
133,30704,Nicole Gillis,3:36:03
134,30207,Meredith Smith,3:36:09
135,30506,Wesley King,3:36:11
135,30381,Scott Wloszczynski,3:36:11
137,30590,Daniel Pluard,3:36:13
138,30210,Molly Cohen,3:36:16
138,30190,Ryan Kelch,3:36:16
140,30309,Beau Westpfahl,3:36:21
141,30222,Brad Barcusky,3:36:22
142,30484,Amanda Sonnenberg,3:36:28
143,30515,Bob Cline,3:36:29
144,30450,Danica Kusanovic,3:36:35
145,30603,Matt Rubino,3:36:53
146,30088,Vance Benson,3:36:54
147,30134,Alexander Mclain,3:36:58
148,30427,Virgilio Larralde,3:37:06
148,30071,Kyle Miller,3:37:06
150,30458,Julie Boll,3:37:09
151,30160,Bonnie Ritchotte,3:37:25
152,30141,Dwayne Novak,3:37:34
153,33517,Kurtis Kowalski,3:38:04
154,30186,Paul Carlson,3:38:16
155,33486,Benjamin Mccullough,3:38:46
156,30680,Erik Stephan,3:39:03
157,30750,Nathaniel Szidik,3:39:04
158,30336,William Moore,3:39:19
159,30233,Daryl Davis,3:39:33
160,30294,Lori Knights,3:39:44
161,30100,Dan Moffit,3:39:45
162,33514,Sean Meier,3:39:48
163,30301,Hunter Clarke,3:39:49
164,30605,Jacob Crowell,3:39:55
165,30758,Elliot Heath,3:40:13
166,30293,William Bradshaw,3:40:16
167,31065,Adele Unneberg,3:40:34
168,30498,Gabrielle Giessen,3:40:42
169,30662,Eric Ellwood,3:40:57
170,30468,Joan Dinsmore,3:40:58
171,30319,Ryan Velau,3:41:08
172,30433,Darrell Black,3:41:14
173,30658,Amy Hartlieb,3:41:19
174,30579,Scott Smith,3:41:24
175,30681,Stuart Mcdonald,3:41:30
176,30154,Joshua Knickerbocker,3:41:31
177,30080,Kyle Milden,3:41:37
178,30661,Jamie Cotter,3:41:44
179,30445,Jessica Scott,3:41:55
179,30522,Samantha Harrison,3:41:55
181,30362,Ryan Goldfine,3:42:17
181,33454,Alex Judd,3:42:17
183,33644,Christina Rivera,3:42:29
184,30317,Ben Mclusky,3:42:34
185,30471,Kathleen Bond,3:42:46
186,32122,Jeff Watson,3:42:53
187,30987,Brandon Bernhardt,3:42:57
188,30425,Emily Stewart,3:42:58
189,30223,Katie Van Arendonk,3:43:01
190,33489,Vance Poss,3:43:02
191,31001,John Denoma,3:43:09
192,31199,James Booth,3:43:33
193,30087,Paul Hanly,3:43:35
194,33458,Patrick Hogeboom,3:43:36
195,30578,Erin Glazier,3:43:48
196,30379,Grant Nicholson,3:43:51
197,33464,David Harvey,3:43:53
198,30449,Eduardo Pi,3:43:59
199,31388,Pablo Marchant,3:44:19
200,33471,Ron Chapman,3:44:26
201,30133,Colton Staab,3:44:31
202,30475,Jason Pettit,3:44:35
203,30300,Maria Jugan,3:44:41
204,33656,Matt Hawkins,3:44:53
205,31008,Steven Jones,3:44:55
206,30350,Marlon Quitos,3:44:57
207,30127,Kenneth Roberts,3:45:03
208,30699,Michael Hunt,3:45:04
209,30105,Nick Eccher,3:45:12
210,30641,Mark Davenport,3:45:16
211,30185,Lorena Jaime,3:45:18
212,30668,Pat Simmons,3:45:24
213,30460,Kevin Gerteisen,3:45:27
214,30390,Michael Obermayer,3:45:28
215,33550,Bennett Diaz,3:45:54
216,30305,Melissa Kuzma,3:46:01
217,30755,Morganne Cook,3:46:07
218,31235,Severine Mutti,3:46:13
218,30150,Andy Casto-Waters,3:46:13
220,31871,Holly Barrett,3:46:22
221,30168,Jesse Fenton,3:46:24
222,30053,Ian Gilchrist,3:46:43
223,30333,Andy Ross,3:46:47
224,30776,Stephen Bohn,3:46:49
225,30354,Claire Wilson,3:46:58
226,31181,Jacob Zalewski,3:47:07
227,30679,Julie Thibodeau,3:47:09
228,33475,Matthew Moshyedi,3:47:13
229,30440,Sebastian Schneider,3:47:29
230,30443,David Sanchez,3:47:35
231,31223,Joshua Gurka,3:47:38
232,31356,Ariel Phillips,3:47:49
233,30787,Brian Thomas,3:48:04
234,30615,Richard Hall,3:48:53
235,30622,Chappel Mccollister,3:48:54
236,30708,Nikki Roetman,3:49:01
237,30196,Jinhong Liu,3:49:09
238,31304,Olivia Overley,3:49:11
239,30657,Elynn Kann,3:49:19
240,30593,Grace Ouellette,3:49:21
241,30487,Scott Settle,3:49:35
242,30212,Anthony Gibson,3:50:07
243,30646,Meade Fogel,3:50:18
244,31310,Matthew Armstrong,3:50:28
245,32250,Justin Manry,3:50:31
246,33483,Todd Allen,3:50:34
247,30734,Muna Rodriguez,3:50:45
248,30794,Luke Tuttle,3:50:50
249,30363,Drew Prentice,3:50:51
250,30435,Clint Brosmer,3:50:58
251,30240,Tori Domico,3:51:06
252,33540,Karl Bailey,3:51:09
253,30428,Maeve Whelan-Wuest,3:51:23
254,30975,Mingfeng Bai,3:51:27
255,30503,Isabelle Mcleod,3:51:32
256,30629,Melissa Boothe,3:51:39
257,30202,Forrest Orme,3:51:48
258,33457,Robert Reagan,3:51:49
259,31191,Emily Tseffos,3:51:50
260,30709,Jim Sanders,3:52:01
261,30418,Evan Fortune,3:52:07
262,30237,Eric Johnson,3:52:21
263,30650,Scott Trousdale,3:52:35
264,33496,Christa John,3:52:39
265,30695,Landin Mathison,3:52:43
266,30189,Conor Kelch,3:52:48
267,30339,Diane Kenna,3:52:52
268,31209,Deanne Blas,3:53:08
269,30649,Casey Lowery,3:53:09
270,33465,Nikki Harvey,3:53:12
271,30041,Scott Porter,3:53:14
272,31029,Michele Marcus,3:53:15
273,33497,John Goodman,3:53:18
274,30887,Naomi Ryan,3:53:27
275,33455,Lauren Terrell,3:53:29
276,30756,Lon Rathmell,3:53:37
277,30366,Claire Fernandez,3:53:40
277,30469,Kate Lewis,3:53:40
279,33527,Joshua Collier,3:53:47
280,30835,Travis Johnson,3:53:49
281,30558,Alan Pettit,3:53:50
282,30436,Matt Windham,3:53:51
283,30218,Robert Reynolds,3:53:57
284,30672,Maria Hineline,3:54:08
285,30976,Phuong Thai,3:54:10
285,30518,Cody Lee,3:54:10
287,30173,Guido Chichierchia,3:54:17
288,31155,Lisa Donchak,3:54:23
288,30241,Rocco Henderson,3:54:23
290,33714,Alfred Tello,3:54:28
291,30302,Randolph Grant,3:54:47
292,31166,Joe Aaron,3:54:48
293,30299,Scott Huston,3:54:49
294,30193,Aaron Hawkins,3:55:07
295,30770,Phillip Kurchack,3:55:09
295,30393,Roderick Scott,3:55:09
297,30151,Jeff Furst,3:55:16
298,30762,Cristy Meining,3:55:29
299,30358,John Flint,3:55:30
300,31202,Jay Earich,3:55:31
301,30588,Kat Sattele,3:55:38
302,31306,Casey Gallaher,3:55:39
303,30438,Tracey Jackson,3:55:56
304,30691,Koon Wan,3:55:57
305,30177,John Jacobson,3:56:05
306,30636,Gregory Flanagan,3:56:10
307,30818,Jonathan Radwan,3:56:12
308,30742,Robert Villwock,3:56:15
308,31496,Tyler Woitkowski,3:56:15
308,31365,Nicholas Lazzara,3:56:15
311,30773,Mark Schmidt,3:56:24
312,31991,David O'Rourke,3:56:31
313,30781,Adam Lord,3:56:35
313,31122,Jerry Miller,3:56:35
315,30673,Tony Spake,3:56:44
316,30550,Jean Pierre Rostren,3:56:45
317,31014,Paul Hickey,3:56:47
318,30761,Magdaliene Deline,3:56:51
319,31156,Peter Schichtel,3:56:52
320,30684,Matthew Milam,3:56:57
321,30194,Ryan Davis,3:56:58
322,30898,Austin Brunhoeber,3:57:14
323,31507,Jessica O'Mahoney,3:57:15
324,30178,Matthew Pohorilak,3:57:19
325,31336,Brittney Duffy,3:57:25
325,30705,Greg Dunn,3:57:25
327,30517,Stefani Briere,3:57:32
327,33482,April Allen,3:57:32
329,30130,Sullivan Edwards,3:57:34
330,30225,Laura Romaine,3:57:36
331,30432,Megan Conroy,3:57:41
332,30312,Steven Meyer,3:57:50
333,30447,Andrea Starinsky,3:57:53
334,31158,Stephanie Gogots,3:57:57
335,31495,Kevin Murphy,3:57:59
336,31570,Hampton Lott,3:58:01
337,31518,Dorothy Butler,3:58:02
338,31735,Irene Hamm,3:58:05
339,31296,Ben Bass,3:58:09
340,30774,Christopher Wray,3:58:11
341,30448,Matthew Sebens,3:58:14
341,30386,Erin Zerth,3:58:14
343,31091,Aric Thorne,3:58:22
344,30800,Joshua Nelkin,3:58:25
345,31604,Landon Stubblefield,3:58:31
346,30396,Jamie Saunders,3:58:32
347,30640,Stacey Malcolmson,3:58:36
348,30969,Jered Haynor,3:58:38
349,33681,Barrett Holder,3:58:51
350,30598,Taylor Romine,3:58:54
351,30483,Steven Hubbard,3:58:59
352,31274,Spencer Blakely,3:59:01
353,31269,David Salge,3:59:04
354,31259,Sara Casciano,3:59:13
355,31033,Miriam Gutman,3:59:19
356,30771,Kathleen Fusco,3:59:22
357,31850,Andrea Perreault,3:59:27
358,30759,Kristin Gamble,3:59:32
359,30612,Greg Beckerle,3:59:33
360,30628,Anthony Steele,3:59:37
361,30308,Amy Eddy,3:59:39
362,31936,Carl Adams,3:59:44
363,31307,Sam Hughes,3:59:53
364,30694,Brett Fetter,3:59:59
364,31660,Tyler Dixon,3:59:59
366,32444,Stormy Speaks,4:00:02
367,30486,Dave Taylor,4:00:06
368,31289,Koji Kawabata,4:00:14
369,30749,Tony Wolniakowski,4:00:15
370,30479,Andy Nye,4:00:16
371,31453,Tanya Ratcliff,4:00:17
371,31454,Jordan Diegmueller,4:00:17
373,31837,Jyssica Miller,4:00:21
374,30511,Gustavo Mendez,4:00:25
375,30601,Justin Allen,4:00:27
376,30823,Brandi Nowicki,4:00:39
377,30715,Kenny Johnson,4:00:44
378,31929,Peter Davis,4:00:47
379,30491,Jared Kincaid,4:01:00
380,31548,Gregory Pape,4:01:19
381,30890,Fernando Marquez,4:01:20
382,30744,Joseph White,4:01:24
383,31027,John Brechbill,4:01:28
383,30307,Jake Cronin,4:01:28
385,30617,Greg Walker,4:01:41
386,33522,Kiyoka Panichvatana,4:01:43
386,30836,Tamara Kasper,4:01:43
388,30337,Alejandro Burgos,4:01:49
389,30627,Yanni Lambropoulos,4:02:00
390,32107,Alexander Guerrero,4:02:05
391,31151,Danielle Cosco,4:02:10
392,30594,Tara Bailes,4:02:21
393,31054,Megan Cohan,4:02:22
394,31253,Clayton Phillips,4:02:24
395,30831,Allison Taylor,4:02:26
396,31333,Matt Walberg,4:02:29
397,30470,Laura Dowek,4:02:33
398,30740,Matias Weikert,4:02:37
399,30727,Chris Fox,4:02:49
399,33515,Jeffrey Bliss,4:02:49
399,31138,Rosie Arellano,4:02:49
402,30769,Maria Dean,4:03:17
403,32113,Jennifer Gehrin,4:03:22
404,30807,Trisha Armstrong,4:03:23
405,30318,Robbie Berger,4:03:24
406,31359,Nick Marshall,4:03:26
407,30341,Chris Riser,4:03:27
408,30232,William Horn,4:03:30
409,31589,Gary Shelnutt,4:03:38
410,30767,Brendan Knoblauch,4:03:42
411,30560,Paul Bradbury,4:03:45
412,30846,Gary Nichol,4:03:56
413,30296,Chris Schuer,4:03:58
413,31110,Katie Johnson,4:03:58
415,30798,Clee Malfitano,4:04:03
416,30674,Gisella Pere,4:04:12
417,31120,Jason Cook,4:04:17
418,30146,Chad Carpenter,4:04:19
419,33600,Elizabeth Messineo,4:04:28
420,30711,Aimee Heckman,4:04:34
421,30119,Patricio Hidalgo,4:04:37
422,30397,Dean Martin,4:04:54
423,31560,Haley Kesterson,4:05:02
424,31106,Jeffrey Johnson,4:05:09
425,33510,Tyler Younghouse,4:05:21
425,31352,Brady Watson,4:05:21
427,31464,Philip Leisy,4:05:36
427,31943,Richard Vestal,4:05:36
429,30977,Robert Allen,4:05:49
430,31434,Natascha Leitner,4:05:53
431,31999,Jeremy Johnson,4:05:54
432,31353,Brian Donaldson,4:06:00
432,31876,Arthi Krishnan,4:06:00
434,31143,Brad Andis,4:06:04
435,31218,John Winborn,4:06:12
436,31373,Darcie Brodsky,4:06:41
437,31562,Meggie Komar,4:06:49
438,31423,Anthony Rosso,4:06:53
439,30104,Kelsey Otten,4:07:02
440,30956,Mandy Grimshaw,4:07:05
441,31389,Firmo Demelo,4:07:06
441,30500,Erin Willis,4:07:06
443,30184,Taylor Christiansen,4:07:12
444,33494,Michael Crosby,4:07:13
445,30900,Amanda Binkley,4:07:22
446,30476,Katarina Von Lehmden,4:07:32
447,30581,Lorelei Raymundo,4:07:33
448,30504,Kyle Moritz,4:07:34
449,31297,Terese Grondin,4:07:35
450,31169,Mark Reyes,4:07:38
451,31438,Renee Gould,4:07:52
452,31420,Sean Baum,4:08:03
453,31262,Chad Appleton,4:08:04
454,33669,Jessie Lynch,4:08:09
455,31300,Megan Jepson,4:08:10
456,31584,Wendy Dunevant,4:08:18
457,33645,Stefanie Garrity,4:08:24
458,30702,Grant Donath,4:08:36
459,30609,Hannah Mincey,4:08:37
460,31413,Rachel Hartman,4:08:52
461,30508,Tsutomu Takeda,4:09:16
462,32109,Jessica Salgado,4:09:18
463,31220,Alexander Shinar,4:09:23
464,30523,Elena Harmon,4:09:25
465,30757,Cody Seely,4:09:32
466,30971,Lindsay Harroff,4:10:01
467,30733,Trent Fordham,4:10:02
467,31940,Alexander Jackson,4:10:02
469,33502,Timothy Lewendon,4:10:03
470,30652,Phillip Durity,4:10:07
470,31920,Sean Courser,4:10:07
470,30344,Priya Pappu,4:10:07
473,31140,Kelsey Guglielmi,4:10:08
474,30689,Micah Clemons,4:10:11
475,31064,Gilbert Quioan,4:10:13
475,31175,Alaina Buchwald,4:10:13
477,33504,Allison Morris,4:10:22
478,30718,Jesse Riley,4:10:23
479,31217,Steven Sinclair,4:10:26
480,33350,Christopher Romanoski,4:10:27
481,30743,Jennifer Gurski,4:10:33
482,33490,Jason Haas,4:10:37
483,30748,Hoa Schober,4:10:48
483,30751,Michael Pangallo,4:10:48
485,32111,Monica Marcela Canas,4:10:50
486,30909,Araminta Ray,4:10:52
486,33446,Mackenzie Dysinger,4:10:52
488,30407,Wes Denney,4:10:54
488,30481,Cayla Pusey,4:10:54
490,33684,Matthew Farrell,4:10:58
491,32046,Adam Goodman,4:11:03
492,30332,Coral Wiebe,4:11:05
493,30257,Soren Wakelin,4:11:06
494,30955,Brian Suh,4:11:07
495,30231,Larry Brittan,4:11:08
496,33535,Skylar Dejesus,4:11:10
496,31461,Addison Britton,4:11:10
498,30566,Alyssa Morrison,4:11:12
499,30526,Julia Norton,4:11:16
500,31448,Nikki Calkins,4:11:23
500,33706,Aine Corridon,4:11:23
502,31078,Ryan Monteleone,4:11:33
502,31649,Abbey Head,4:11:33
504,33560,Ben Rosa,4:11:39
505,31409,Michelle Pernat,4:11:40
505,31547,Brian Furao,4:11:40
507,30496,Scott Siersma,4:11:41
508,30814,Tim Petro,4:11:42
509,30335,Justin Bryan,4:11:49
510,30692,Mary Costello,4:11:59
510,30778,W. Daniel Costello Jr.,4:11:59
512,32103,Adam Hodges,4:12:01
513,33478,J.C. Anderson,4:12:02
514,30275,David Cornell,4:12:05
515,32066,Ariana Vaisey,4:12:07
516,32232,Sarah Graves,4:12:18
517,31270,John Edwards,4:12:22
518,30330,Brian Tober,4:12:24
519,31210,Mathias Mortenson,4:12:25
520,31292,Jason Alaniz,4:12:27
521,31988,Rebekah Good,4:12:34
522,31044,Tim Mittan,4:12:49
523,33481,Hannah Burnette,4:12:50
524,33143,Nathan Alley,4:12:52
525,30169,Eric Lozick,4:12:53
526,30263,Ahmad Alammuri,4:12:54
527,30574,Sherry Peterson,4:12:55
528,33459,Israel Sandoval,4:12:57
529,30543,Nicole Piquero,4:13:03
530,30279,Jasser Mahmoud,4:13:05
531,30986,Quinn Williams,4:13:16
532,30669,Solomon Jeong,4:13:24
533,33674,Timothy Phillips,4:13:25
534,30276,Emily Cornell,4:13:28
535,31439,Sandra Therrien,4:13:38
536,30775,Kristin Nelson,4:13:46
537,30940,Chad Mckissick,4:13:52
538,31581,Josh Green,4:13:59
539,33648,Cami Holland,4:14:03
540,32570,Sophia Guzzo,4:14:05
541,31556,Brittany Morrow,4:14:07
542,30101,Emerson Smith,4:14:08
543,32006,Megan Wilkins,4:14:10
544,32097,Bailey Davidson,4:14:15
545,32012,Kaitlyn Jones,4:14:16
546,30725,Paul Bergman,4:14:23
547,30714,Adam Stadel,4:14:24
548,31597,Joao Pagan,4:14:27
549,33467,Brooke Groff,4:14:29
550,30215,Donald Stover,4:14:43
551,30572,Christine Altrock,4:14:52
551,31539,Mia Pecora,4:14:52
553,31490,Koriann Lance,4:14:54
554,31640,Kelsa Debrabant,4:14:56
554,30355,Donald Hilton,4:14:56
556,33513,Nick Bussell,4:15:17
557,31211,Nick Hagemeier,4:15:23
557,31212,Molly Hagemeier,4:15:23
557,31910,Michael Averill,4:15:23
560,33524,Stephen Reed,4:15:32
561,31150,Racheal Ballard,4:15:35
562,31857,Greg Kampman,4:15:37
563,30944,Heini Tallent,4:15:39
564,31410,Amy Rollins,4:15:55
565,30943,Travis Lanier,4:16:06
566,31478,Andre' Page,4:16:08
566,31753,Eric Yeats,4:16:08
568,30370,Benjamin Weber,4:16:10
569,30806,Mari Woodton,4:16:26
570,32186,Bethany Heaman,4:16:31
571,30400,Abbie Nelson,4:16:37
572,30592,Dusty Brown,4:16:43
573,31160,Anne Grumbine,4:16:46
574,30083,Cheko Waters,4:16:47
574,31144,Samuel Baker,4:16:47
576,31042,Christopher Wiggs,4:16:49
577,30295,Megan Sunderland,4:16:57
578,31816,Allie Townshend Peña,4:17:07
579,31565,Toby Jenkins,4:17:09
580,32249,Michelle Sackman,4:17:12
580,32201,Nathan Cross,4:17:12
582,31609,Patricia Amorado,4:17:13
583,31229,Zack Box,4:17:18
584,30728,Jennifer Barden,4:17:24
585,31215,Joshua Denney,4:17:26
586,30826,Kenneth Schafer,4:17:29
586,31358,Miles Snelgrove,4:17:29
588,30786,Brittany Fruin,4:17:30
589,31661,Enrique Lopez,4:17:35
590,30903,Ryan Kelly,4:17:39
591,30838,Alyssa Esber,4:17:40
591,31954,Derek Thiele,4:17:40
593,31089,Whitney Mitchell,4:18:02
594,31271,Kristy Amerson,4:18:08
595,30811,Heather Sims,4:18:10
596,31436,Jacob Fischer,4:18:11
597,31656,Lindsey Urish,4:18:21
598,30954,Kristina Smithe,4:18:26
599,32144,Meghan Gallagher,4:18:33
600,30488,Kelly Farrow,4:18:36
600,30489,Steve Farrow,4:18:36
600,30097,[email protected] Delozier,4:18:36
603,33492,Victor Kunze,4:18:40
603,31285,Michael Mau,4:18:40
605,30685,Carlos Mancilla,4:18:43
606,31294,Creighton Kellum,4:18:52
607,31225,Marlene O'Laney,4:18:55
608,31652,Jennifer Leeper,4:19:02
609,32456,Brenda Brawley,4:19:06
610,31207,Patrick Corley,4:19:12
611,30625,Joe Sernett,4:19:15
612,30473,Christopher Gworek,4:19:19
613,31561,Kristin Shaffer,4:19:27
614,31852,Stephanie Sigmond,4:19:30
614,31095,Lorin Shimonek,4:19:30
616,30731,Brenna Lakeson,4:19:42
617,33637,Mauricio Sotelo,4:19:47
617,33613,Donald Lipper,4:19:47
619,31977,Jake Estienne,4:20:04
620,32892,Lottie Barton,4:20:22
621,30990,Emily White,4:20:28
622,33646,Deborah Gilligan,4:20:30
622,30505,Eric Kingara,4:20:30
624,31976,Jessica Wheeler,4:20:38
625,30421,Megan Sykes,4:20:42
625,31383,Ignacio Alvarado,4:20:42
627,30573,Lisa Prevedel,4:20:49
628,33536,Shane Schroeder,4:20:51
629,31765,Stephanie Unekis,4:20:52
630,31875,Olivia Bock,4:20:54
631,30611,Chris Bain,4:20:56
632,33719,James Marchesani,4:21:00
633,33531,Morgan Lawler,4:21:01
633,33477,Jed Henry,4:21:01
635,30768,Bethany Mills,4:21:03
636,31372,Cecilia Arango,4:21:04
637,31196,Angie Rieger,4:21:09
638,33575,Jeffrey Hodge,4:21:18
639,30345,Christopher Sexton,4:21:30
640,31246,Michael Bauman,4:21:33
641,30793,Chad Crawley,4:21:41
642,30464,Matt Southcott,4:21:46
643,31111,Taylor Hidalgo,4:21:50
644,32536,Michael Schiebout,4:21:54
644,33456,Steve Troxel,4:21:54
646,33511,Keith Hoelzeman,4:22:03
647,30994,Michael Reddish,4:22:05
648,31295,Bob Farris,4:22:06
649,31522,Randy Mccloud,4:22:10
650,31521,Mckenzie Mccloud,4:22:11
651,30653,Sean Burns,4:22:12
652,32722,Cameron Snook,4:22:17
653,30610,Iliana Osterholt,4:22:19
654,31600,Shannon Keller,4:22:23
655,31510,Ariel Robinson,4:22:25
656,30583,Caitlin Reilly,4:22:27
657,30856,Wendy Blank,4:22:31
658,31096,Tristan Perry,4:22:33
659,31273,Pedro Madeira,4:22:41
660,31020,Mark Schenkel,4:22:44
661,31566,Butch Whitworth,4:22:51
662,31475,Blake Cortner,4:22:53
663,31387,Rachel Padalino,4:22:56
664,31430,Arial Ruble,4:22:58
665,31327,Daniel Mccaslin,4:23:04
666,33703,John Jones,4:23:05
667,30361,Chase Hoyt,4:23:08
668,31611,Joanna Libby,4:23:13
669,31650,Stephanie Kurchack,4:23:25
670,30264,Michael Passaro,4:23:30
671,30643,Christian Yonkoski,4:23:38
672,33104,Chase Snider,4:23:40
673,30933,Jared Matsunaga,4:23:41
674,30334,Chris Stotler,4:23:54
675,31426,Torrey Wiley,4:24:02
676,30712,Katrin Sames,4:24:07
676,31417,Brian Pranske,4:24:07
678,31971,Jacob Simpson,4:24:12
679,31809,Teresa Osgood,4:24:13
680,30552,Juraj Maksi,4:24:14
680,30842,Jill Ryan,4:24:14
682,31350,Stephen Jernigan,4:24:17
683,30589,Kenneth Frazier,4:24:23
684,31311,Ryan Houthoofd,4:24:25
685,31012,Bradley Rodgers,4:24:33
686,31147,Melissa Spahar,4:24:36
687,32202,Matt Gould,4:24:40
688,31908,Joshua Carlucci,4:24:41
689,30732,Chris Hall,4:24:43
690,32187,Scott Benson,4:24:47
691,30637,Ashley Lureen,4:24:49
692,31368,Evan Brown,4:24:54
693,32196,Laura Winalski,4:24:58
693,31491,Kaitlin Heck,4:24:58
693,30424,Jamie Schuer,4:24:58
693,31939,Stephanie Shipley,4:24:58
697,30516,Lauro Ortiz,4:25:03
698,30896,Lee Schmidt,4:25:04
699,31418,Sheryl Lewis,4:25:06
699,31534,Paul Barbeau,4:25:06
701,30398,Tony Giannone,4:25:11
702,31441,Timothy Scott,4:25:18
703,31238,Heather Smith,4:25:26
703,31500,Jennifer Bauer,4:25:26
705,30979,Clay Dolatowski,4:25:30
706,33500,Kevin Horrigan,4:25:36
707,517,Dan Albert,4:25:38
708,33639,Marla Albert,4:25:40
709,31364,Chris Hegwood,4:25:47
710,31047,Amy Cook,4:25:49
