Overall,Bib,Name,Time
1,1,Scott Wietecha,2:28:16
2,3,Garang Madut,2:29:52
3,33442,Kevin Fink,2:38:59
4,33441,Andrew Hodges,2:43:59
5,30028,Nicholas Aubert,2:48:11
6,30038,Dan Shafer,2:49:00
7,30099,Jacob Rainey,2:51:46
8,33712,Ry Glover,2:53:17
9,11,Stella Christoforou,2:53:44
10,30052,Tyler Hallenbeck,2:56:21
11,30057,Jansen Hein,2:56:23
12,33448,Christopher Harrington,2:56:48
13,30050,James Nabholz,2:57:03
14,30039,Jared Daedler,2:57:36
15,30096,Nicholas Tseffos,2:59:35
16,30107,Thomas Aliff,2:59:41
17,30040,Jeremy Riehm,3:01:41
18,30058,Greg Jones,3:02:12
19,30135,Jack Burger,3:02:17
20,30048,Edgar Garza,3:05:40
21,10,Heather Crowe,3:07:46
22,33452,Cristina Noble,3:08:21
23,30153,Dan Williams,3:09:33
24,30117,Eddie Bell,3:09:39
25,30395,Emanuel Loreant,3:10:23
26,30095,Jeffrey Olive,3:10:28
27,30211,Jacqueline Gottuso,3:10:50
28,30249,Eric Shrestha,3:11:27
29,30059,Brandon Foley,3:12:17
30,30131,Matt Hunt,3:12:34
31,30281,Thomas Cirillo,3:12:37
32,30132,Shawn Husband,3:14:03
33,30129,Mudhillun Muqaribu,3:15:11
34,33449,Scott Eiselt,3:15:22
35,30069,Kevin Laury,3:15:33
36,33460,Mahlon Hellman,3:16:17
37,30399,Patrick Sweatt,3:16:32
38,30221,Michelle Fogle,3:17:44
39,30182,Tatsuki Koyama,3:18:24
40,33485,David Jones,3:18:26
40,30051,Aaron O'Keeffe,3:18:26
42,30227,Dalton Stubbs,3:18:31
43,30084,Andrew Morris,3:19:04
44,33472,Nick Pitts,3:19:05
45,30239,Michael Ibanez,3:19:15
46,30253,Katelyn Storey,3:19:26
47,33451,Kevin Walker,3:19:28
48,30064,Ubaldo Hurtado,3:19:58
49,30126,Vic Ciancetta,3:20:07
50,30164,Jay Mitchell,3:20:17
51,30329,Donald Paull,3:21:06
52,30183,Andrew Thai,3:21:15
53,30870,Tim Roetman,3:21:25
54,30103,Ayub Odera,3:21:35
55,30165,Ryan Folkert,3:21:53
56,30120,Sean Cooper,3:21:58
57,30123,Javier Rusinque,3:22:02
58,30063,Todd Reynolds,3:22:04
59,30187,Robert Harris,3:22:23
60,30217,John Willis,3:22:27
61,30497,Armando Galvez Rico,3:22:30
62,30179,Daniel Salmon,3:22:43
63,30391,Kevin Harris,3:22:48
64,30175,Vincent Manier,3:23:18
65,30198,Alan Arpon,3:23:19
66,30252,Diego Ruiz,3:23:22
67,30667,Jeff Woody,3:23:27
68,30176,Matt Pesavento,3:23:44
69,33474,Gilbert Varela,3:23:46
70,30152,Sam Miller,3:24:21
71,30367,Andy Kump,3:24:33
72,30580,Aly Schenavar,3:25:26
73,31026,Sonny Tufano,3:25:43
74,30140,Brian Wright,3:26:10
75,30385,James Lowe,3:26:15
76,33468,Samuel Smith,3:26:24
77,30236,Jonathan Lister,3:26:47
78,30208,Susie Aames,3:27:13
79,30528,Chris Norris,3:27:30
80,30201,Will Westhoff,3:27:42
81,30409,Matthew Pires,3:27:48
82,30092,Brad Whitley,3:27:55
83,30251,Beau Baggett,3:28:27
84,30821,Steven Vargas,3:28:36
85,33651,Jeremy Lister,3:28:40
86,30316,Devin Ray,3:28:52
86,30608,Benjamin French,3:28:52
88,30439,Lydia Calahan,3:28:58
89,30326,Katherine Ainsworth,3:29:00
90,30378,Josh Leitner,3:29:07
91,30412,Leonardo Sánchez,3:29:20
92,33476,Charles Sisk,3:29:49
93,30303,Tess Vorselen,3:29:58
94,30495,Craig Findlay,3:30:05
95,31053,Jillian Roberts,3:30:30
96,30181,Charles Shackelford,3:30:31
97,30216,Maura Stacey,3:30:36
98,30557,Carmen Camp,3:30:40
99,31022,Blake Phillips,3:30:43
100,33495,Grant Stubblefield,3:30:53
101,30512,Jennifer Murray,3:30:54
102,30163,Peter Shreffler,3:31:04
103,30707,Ellen Williamson,3:31:05
103,31240,Adam Klenk,3:31:05
105,31444,Kyle Young,3:31:28
106,30394,Jason Toot,3:31:50
107,30145,Eric Parker,3:32:07
108,32051,Alexandra Vincenti,3:32:09
109,30375,Dan Duffy,3:32:10
110,30434,Emma Locke,3:32:13
111,30203,Joe Wiltsey,3:32:26
112,30392,Patrick Madl,3:32:34
113,30254,Rachel Polk,3:32:37
114,30451,Carl Ostrowski,3:32:46
115,30411,Vicente Rodriguez,3:32:47
116,30623,Kayla Whitley,3:33:22
117,30406,Katie Schubauer,3:33:45
