Overall,Bib,Name,Time
164,5031,Kathleen Fisher,3:48:28
165,1040,Ronald Kline,3:48:50
166,4042,Jonathan Turner,3:49:00
167,1003,Adam Lynes,3:49:01
168,7143,Henrik Petersen,3:49:40
169,7133,Christian Jacky,3:49:44
170,6134,Ben Schroeder,3:50:02
171,5083,Stephanie Miller,3:50:07
172,6054,Caitlin Rechel,3:50:07
173,4054,Todd Bevan,3:50:19
174,3096,Sophia Mallaro,3:50:24
175,4043,Andrew Sims,3:50:31
176,6174,Jennifer Vieth,3:50:31
177,5076,Jordan Ruf,3:50:34
178,3034,David Miller,3:50:46
179,1020,Doug Pederson,3:50:48
180,5049,Callie Turlington,3:50:52
181,1097,Gustavo Mendez,3:50:53
182,6039,Sarah Hulls,3:51:12
183,15054,Alec Jotte,3:51:24
184,2119,Samuel Smith,3:51:35
185,3035,Jack Wang,3:51:35
186,5009,Kari Regar,3:51:37
187,5005,Andrew Barr,3:51:41
188,3057,Erik Stephan,3:51:58
189,2094,Corey Tomlinson,3:52:05
190,6146,Chris Norris,3:52:09
191,25291,Jennifer Randall,3:52:09
192,4032,Javier Ruiz,3:52:24
193,2100,Karla Hoggard,3:52:40
194,7089,Robert Warden,3:53:00
195,4046,Brian Svejkosky,3:53:03
196,3029,Brian Kase,3:53:19
197,7184,John Singelais,3:53:32
198,7170,Brett Holida,3:53:34
199,2081,Brendan Marchesani,3:53:40
200,18105,Emily Mccarty,3:53:49
201,23034,Kaitlyn Lewis,3:53:49
202,7115,Dale Erdmier,3:53:51
203,7215,Matt Bodnar,3:53:58
204,7155,Patrick Suggs,3:54:27
205,3154,Burt Lavender,3:54:29
206,3058,Latoya Harwell,3:54:30
207,2078,Tyler Schloesser,3:54:32
208,1214,Amon H Martin,3:54:37
209,6045,Nicole Forrest,3:54:37
210,6193,Lukas Threlkeld,3:54:39
211,5070,Yang Wang,3:54:43
212,3036,Robyn Gadd,3:54:52
213,4028,Krista Oleson,3:54:52
214,1063,Jake Becker,3:54:55
215,6047,Rick Scanlan,3:54:57
216,1226,Joshua Parkey,3:55:00
217,5027,Kaitlynn Reiling,3:55:09
218,1042,Jacob Montoya,3:55:11
219,4034,Victoria Salibi,3:55:14
220,5089,Shanna Malone,3:55:18
221,3116,Jason Willis,3:55:23
222,3022,Kevin Willson,3:55:25
223,1021,Scott Lipski,3:55:25
224,6021,Megan Kelty,3:55:30
225,7075,David Hess,3:55:45
226,4004,Laun Hallstrom,3:55:45
227,14052,Stephanie De Zarraga,3:55:52
228,2075,Neil Mehltretter,3:55:53
229,1084,Edward Elliott,3:55:57
230,16045,Mary Carroll,3:56:03
231,2023,Jordan Garfinkel,3:56:03
232,7079,Bryan Thomas,3:56:10
233,3125,Skyler Cook,3:56:16
234,2112,Taylor Otteman,3:56:20
235,41685,Angela Montoya,3:56:24
236,12016,Sal Biundo,3:56:25
237,7095,Gus Hutto,3:56:46
238,7086,Aine Corridon,3:56:49
239,1112,Adam Balfour,3:56:58
240,6053,Ryan Vincent,3:57:17
241,5069,Jin Wang,3:57:19
242,6046,Catherine Beals,3:57:32
243,2048,Joey Hale,3:57:34
244,3107,Blake Hargrove,3:57:36
245,3100,Thomas Cirillo,3:57:39
246,2115,Amanda Wallace,3:57:53
247,3117,Noah Ennis,3:58:03
248,5073,Jamie Saunders,3:58:04
249,12114,Kenneth Ginsburg,3:58:08
250,22045,John Robinson,3:58:10
251,3032,Erin Delaney,3:58:23
252,7204,Eivind Nordland,3:58:25
253,3130,Kelly Brackin,3:58:30
254,3017,Conner Zuber,3:58:31
255,2114,Alex Judd,3:58:31
256,7205,Eleanor Sharp,3:58:31
257,7108,Taharka Mccleave,3:58:34
258,10080,Kimberley Zuccola,3:58:58
259,6069,Mark Marriott,3:59:00
260,4087,Kathleen Anthony,3:59:10
261,2068,Ty Payne,3:59:13
262,13031,Fernando Marquez,3:59:15
263,7068,Jason Seitz,3:59:19
264,20141,Jacob Snider,3:59:25
265,3136,Adam Kirwen,3:59:27
266,3008,James Lowe,3:59:27
267,4012,Steven Frank,3:59:30
268,103,Sally Baker,3:59:31
269,6076,Lauren Wilson,3:59:36
270,2058,Brett Lawrie,3:59:39
271,27365,Jennifer White,3:59:40
272,6200,Eric Malone,3:59:42
273,5033,William Moore,3:59:45
274,13014,Jennifer Hicke,3:59:47
275,7074,Daniel Harcombe,3:59:54
276,5004,Mary Marshall,4:00:12
277,25222,Sarah Shute,4:00:15
278,6029,Lawrence Droege,4:00:27
279,3028,Michaelyn Ness,4:00:36
280,2033,Scott Sandlin,4:00:37
281,7084,Alexandra Brandt,4:00:56
282,6104,Gary Tashima,4:01:05
283,2038,Catie Caldwell,4:01:09
284,11025,Carrie Wallace,4:01:17
285,6059,Lisa Laurenzana,4:01:20
286,5066,Andria Mehltretter,4:01:34
287,8028,Steven Nelson,4:01:55
288,5022,Andrew Parks,4:02:15
289,4053,Curtis Stalter,4:02:26
290,17047,Jeff Livingston,4:02:29
291,2087,Michael Wheeler,4:02:32
292,22102,Ian Norris,4:02:35
293,12132,Rachel Kim,4:02:53
294,16202,Lauren Zamora,4:03:03
295,7035,Elizabeth Laptew,4:03:07
296,9099,Nicole Davenport,4:03:10
297,10114,Phillip Cook,4:03:15
298,1109,Michael Schab,4:03:58
299,5058,Kyley Von Bargen,4:04:04
300,7114,Jessica Chiu,4:04:05
301,4011,Russell Edwards,4:04:12
302,1216,Lance Morsell,4:04:14
303,1000,Dwayne Novak,4:04:21
304,7022,Francesca Muccini,4:04:30
305,6190,Brandon Ellis,4:04:38
306,12137,Andrew Roeder,4:04:52
307,2050,Michael Fontes,4:04:55
308,18004,Kelsey George,4:04:57
309,6042,David Krieger,4:04:58
310,15116,Chandlar Henry,4:05:07
311,7213,Victoria Mcguire,4:05:08
312,5008,Bryan Mckaig,4:05:10
313,5035,Lindsey O'Donnell,4:05:16
314,4084,Julie Boll,4:05:17
315,7214,Darrell Black,4:05:27
316,19086,Yolanda Sanchez,4:05:41
317,4060,Fil Faria,4:05:43
318,9076,Amie Gabriel,4:05:53
319,13092,Chris Miller,4:06:01
320,8122,Ricardo Garza,4:06:04
321,2118,Bryan Shepherd,4:06:11
322,3077,Kenny Komala,4:06:12
323,7126,Charles Garner,4:06:14
324,2009,Jacob Crowell,4:06:17
325,6167,Michelle Bowman,4:06:22
326,2111,Gail Machado,4:06:23
327,3076,Jose Molina,4:06:23
328,7011,Abigail Wegman,4:06:24
329,15064,Taylor Stercay,4:06:37
330,3112,Katie Walden,4:06:55
331,27322,Gaye Roberts,4:07:01
332,9037,Toby Jenkins,4:07:03
333,5060,Scott Cupp,4:07:10
334,9107,Matthew Rowell,4:07:13
335,6057,Andrew Nelson,4:07:35
336,23026,Chris Klenc,4:07:35
337,7072,Anna Jones,4:07:39
338,9046,Gabriela Garza,4:08:18
339,19174,Cory Tulley,4:08:22
340,16161,Keith Martin,4:08:35
341,10098,Chandler Keating,4:08:40
342,8004,Rosie Arellano,4:08:41
343,5011,Cole Pickney,4:08:41
344,8169,Joseph Nunez,4:08:46
345,3126,Ryan Davis,4:08:48
346,3123,Lane Sandidge,4:08:57
347,7141,Kurt Gitzlaff,4:08:57
348,11026,Carissa Rutt,4:09:00
349,9033,Misty Russell,4:09:05
350,5067,Rebecca Linder,4:09:08
351,1120,Bryce Bergman,4:09:09
352,7189,Andrew Collignon,4:09:15
353,6182,Dianna Rowe,4:09:23
354,5101,Suzie Thomas,4:09:26
355,14063,Sam Frank,4:09:31
356,25147,Justin Jamison,4:09:34
357,6180,Kristina Crandell,4:09:37
358,3072,Jordana Frenck,4:09:41
359,5096,Levin Arnsperger,4:09:48
360,4010,Cynthia Perkins,4:09:50
361,5029,David Posey,4:09:57
362,5002,Cortney Boyce,4:10:05
363,2124,John Roddy,4:10:09
364,19135,Peter Schichtel,4:10:10
365,7121,Luke Tuttle,4:10:11
366,6016,Casey Neill,4:10:11
367,19049,Josh Rayburn,4:10:13
368,5019,Mamie Erin Hill,4:10:16
369,4035,Peter Groner,4:10:24
370,7019,Paul Bergman,4:10:28
371,7144,Arielle Rogers,4:10:45
372,8094,Steve Howell,4:10:49
373,6030,Ken Moore,4:10:53
374,11122,Judy Daggett,4:11:04
375,8124,Hannah Cooper,4:11:08
376,4003,Andrea Cumpston,4:11:11
377,1217,Raymond Cate,4:11:12
378,4016,Julia Credendino,4:11:33
379,21171,Brittany Wiggs,4:11:35
380,11111,Naomi Ryan,4:11:49
381,4015,Vasa Williams,4:11:50
382,14005,Lauren Griffin,4:11:56
383,5040,Kathryn Sullivan,4:11:59
384,7009,Chris Gitzlaff,4:12:04
385,7210,Meghan Lockwood,4:12:06
386,27260,Crystal Sanlucar,4:12:16
387,3147,Scott Siegel,4:12:19
388,6145,Art Blanchford,4:12:25
389,8081,Karen Clifton,4:12:35
390,9063,Ramiro Garcia,4:12:49
391,1006,Lee L'Oste-Brown,4:12:51
392,5013,Jennifer Anderson,4:12:54
393,6092,Russ Reynolds,4:13:06
394,6163,Kimberley Dwyer,4:13:10
395,6157,Darron Ewing,4:13:12
396,8119,Taylor Huntington,4:13:17
397,10107,Samantha Tremmel,4:13:17
398,4039,Jason Kesterson,4:13:17
399,8077,Brent Peterson,4:13:19
400,6148,Victor Guzman,4:13:30
401,3135,Michael Dempsey,4:13:33
402,6115,Paul Bradbury,4:13:34
403,7112,Harris Morrison,4:13:35
404,5082,Gary Jones,4:13:40
405,7102,Christopher Meierling,4:13:48
406,5075,Jessica Daniel,4:13:48
407,2018,William Ewald,4:13:48
408,26081,Jason Lee,4:14:11
409,9024,Tara Schickedanz,4:14:24
410,10078,Maya Gebhardt,4:14:34
411,10022,Kaylee Gebhardt,4:14:39
412,11121,Keiko Tateiwa,4:14:45
413,25246,Carol Haney,4:14:48
414,9034,William Warren,4:14:51
415,6194,Melinda Shaw,4:14:58
416,9069,Vicki Schmidt,4:15:00
417,4096,Megan Fuerst,4:15:06
418,6179,Emily Fried,4:15:09
419,6108,Thomas Duggan,4:15:10
420,2032,Steve Evans,4:15:17
421,14000,Alysa Taylor,4:15:25
422,16000,Matthew Pierce,4:15:27
423,7007,Natalie Honkala,4:15:32
424,10101,Lauren Harris,4:15:39
425,8011,Matthew Myrick,4:15:41
426,3045,Joel Hempel,4:15:42
427,7048,Kaley Weinstein,4:15:50
428,17011,Brendan Seamus O'Rourke,4:15:50
429,11024,Sarah Luke,4:15:54
430,11127,Sarah Bentley,4:15:54
431,10005,Michael Schweisthal,4:15:58
432,2052,Isaiah Joo,4:16:04
433,18034,Kyle Storey,4:16:13
434,1044,Daniel Mansell,4:16:19
435,3137,Stephen Penwell,4:16:26
436,10033,Jennifer Anselmo,4:16:29
437,6177,Erin Swide,4:16:38
438,10148,Alejandro Rodriquez,4:16:41
439,2001,Mark Pierret,4:16:44
440,7105,Tony Washington,4:16:45
441,13072,Brandon Carpenter,4:17:04
442,24135,Kolleen Hasenour,4:17:12
443,6185,Chris Jones,4:17:12
444,19126,Renee Lassen,4:17:22
445,6113,Jeremy Greer,4:17:30
446,2002,Jason Watkins,4:17:34
447,14017,Ashley Ritchie,4:17:38
448,14039,Margaret Bickley,4:17:38
449,7076,Robert Mooring,4:17:40
450,3000,Ryan Eshleman,4:17:42
451,7146,Shanna Krogman,4:17:49
452,8015,Timothy Murphy,4:17:51
453,5018,Esti Ollerman,4:17:51
454,15065,Britt Rubio,4:17:53
455,2083,Adam Gardner,4:17:55
456,13056,Samantha Ostoich,4:17:57
457,13057,Catherine Ostoich,4:17:57
458,6168,Kenneth Smith,4:18:08
459,2011,Edward Lamy,4:18:20
460,5079,Jasser Mahmoud,4:18:22
461,10051,Nick Reaves,4:18:25
